Referencia        CodPro Descricao do Produto            001 Estoque DISPONIVEL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
33070614922       001435 ESPÁTULA SCR-L OLFA                                          2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M004902           000376 ESTABILIZADOR DE TINTA S JV3 D                               1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
HDK1M-0236        001202 ESTEIRA PLASTICA - SWJ                                       1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
33070614898       001427 ESTOJO DE LÂMINAS AB-10S - INO                               8,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
33070614751       001425 ESTOJO DE LÂMINAS KB - KIT COM                               1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
33070663719       001428 ESTOJO DE LÂMINAS LBD-10 OLFA                                2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
33070614752       001426 ESTOJO DE LÂMINAS PB-800 - KIT                               1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
33070614750       001424 ESTOJO DE LÂMINAS RB45-1 OLFA                                1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
33070663721       001429 ESTOJO DE LÂMINAS SAB-10B OLFA                               1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
33070665457       001433 ESTOJO DE LÂMINAS TSB-1 OLFA                                 1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
33070664312       001410 ESTOJO PARA DESCARTE DE LAMINA                               1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
MP-FWR-P=1.0-L1   001339 FFC CABLE UJF6042                                            1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
VFU3-66P          001401 FILTRO - JFX                                                 1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
VFR20-6-6         000837 FILTRO DE AR - TS500                                         2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SPA-0196          000839 FILTRO DE IMPRESSÃO                                          1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E300353           000300 FITA ENCODER/160/SCALE 2126 -                                1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M603012           001251 FITTING 03 - CONECTOR PLASTICO                              10,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FWRTN2173000      000504 FLAT- CABLE FWRTN2173000 JF                                  1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E103282           000760 HEAD PCB                                                     6,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000531            000531 HORA TECNICA                                                44,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E104534           000829 INK LEAK SENSOR - JV5                                        2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
OJ 6505 N2        000512 INTERRUPTOR                                                  6,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
KI3781-AALF       000932 INTERRUPTOR JV150                                           21,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M006954           000308 JUNTA PLASTICA DA VALVULA - JV                               2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E105749           001346 KEY FFC DRAWING ASSY                                         1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M014068           001099 KIT DA BOMBA DE TUBO 21 TOTAL                                2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M010545           000615 LED UV UJF-3042                                              2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E106429           001172 LED UV X2 DRV PCB ASSY                                       1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E105363           000347 LEITOR DE CHIP JV33/JV5/CJV                                  3,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M700642           000949 LIMPADOR DE TINTA 200                                        6,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E300348           000312 LINEAR ENCODER SCALE 1857                                    2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E107531           001116 MAIN PCB ASSY - UJF-6042                                     2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000194            000194 MASCARA ORATAPE MT52 PAPEL F99                             854,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000195            000195 MASCARA ORATAPE MT95 TRANSP F9                            1159,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M006981           000316 MEDIA PLATE DIREITA JV5                                      4,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M006982           000317 MEDIA PLATE ESQUERDA JV5                                     9,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
HDK1M-0237        001184 MEMBRANA PLASTICA PROT ATRITOS                               1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E301097           001221 MICRO VENTILADOR TS300                                       1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E301109           000929 MOTOR DE PASSO JV300                                         2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E107718           001308 MOTOR DO REBOBINADOR/ALIMENTAD                               1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M013388           001167 MOTOR X - SWJ                                                1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M700408           000960 O-RING S4 - UJF 3042                                         1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000333            000333 PAPER SENSOR JV5                                             1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003954           001703 PELICULA ARQ COMMERCIAL S 00 1                             411,750                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003955           001710 PELICULA ARQ COMMERCIAL S 05 1                             732,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003956           001697 PELICULA ARQ COMMERCIAL S 20 1                             228,750                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003957           001700 PELICULA ARQ COMMERCIAL S 30 1                             274,500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003958           001629 PELICULA ARQ COMMERCIAL S 50 1                              91,500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003959           001630 PELICULA ARQ COMMERCIAL S 60 1                              45,750                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003945           001683 PELICULA AUTO BASIC SERIES 05                             1235,250                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003946           001684 PELICULA AUTO BASIC SERIES 15                             1189,500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003947           001693 PELICULA AUTO BASIC SERIES 35                              869,250                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003948           001694 PELICULA AUTO BASIC SERIES 50                              732,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2004146           001665 PELICULA AUTO WS70 PARA-BRISA                             1235,250                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003949           001628 PELICULA AUTOMOTIVA CA SERIES                             1281,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003950           001626 PELICULA AUTOMOTIVA CA SERIES                             1281,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003952           001625 PELICULA AUTOMOTIVA CA SERIES                              640,500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2003953           001696 PELICULA AUTOMOTIVA CA SERIES                              686,250                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E104069           000822 PLACA (SOLENOIDE CG)                                         3,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E108075           000991 PLACA CIRCUITO IMPRESSO - Imp.                               1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E104537           000306 PLACA DE PROTEÇÃO HDC JV5                                    2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E103107           000389 PLACA DO LEITOR MARCACAO CG-SR                               1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E106647           001195 PLACA DO PAINEL 3042LC PCB - U                               1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E107415           001188 PLACA HDC - SWJ / JFX                                        1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LI4046005/10BLUL  000342 PLACA HDC FPC 160 JV5                                       20,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E106243           000744 PLACA MÃE - UJF-3042FX                                       1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M011427           000385 PLACA MÃE CJV                                                2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E107592           001187 PLACA MÃE EPL - SWJ                                          1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E104893           000468 PLACA MÃE JV5                                                2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E300819           000988 PLACA R                                                      5,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E105036           000346 PLACA RELE COM FUSIVEL DA CABE                               5,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E106130           000643 PLACA SLIDER RELAY - UJF3042                                 1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E106129           000661 PLACA SLIDER UJF 3042                                        1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E104087           000334 PLACA TAKE UP JV5                                            2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
HDK1M-0081        000820 POLIA Y SWJ                                                  6,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M207413           000961 PORCA S4-M10PS - UJF-3042                                    2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M015562           000934 PRENDEDOR DO MATERIAL                                        2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E106989           000783 Placa do Recorte - CJV30                                     2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M207438           000943 Polia                                                        2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
HDK1M-0084        000824 Polia - SWJ                                                  4,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
HDK1M-0083        000823 Polia Y-AXIS - SWJ                                           2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SPA-0142          000987 RESERVATÓRIO DE SUBLIMAÇÃO - J                               1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E107251           000607 RESERVATÓRIO DE TINTA ASSY                                   5,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
D3M-01K1-3        000394 SENSOR DA TAMPA JV33                                         4,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E107244           000674 SLACK SENSOR SWJ                                             2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E106270           000977 SLIDER RELAY - UJF3042                                       1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
A102677           000903 SOFTWARE RASTERLINK                                          1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E103439           000761 SOLENOIDE                                                    2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
E106328           000776 STANTION 3 PCB UJF-3042                                      2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M601054           000351 SUPORTE DA PLACA DO CHIP                                     5,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M007621           000542 SUPORTE DO SENSOR L                                          1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M007195           000358 TAKE UP/ SERIE 5                                             1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M800864           001263 TAMPA G F27 - JV5                                            4,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
M015931           001201 TANQUE DE ARMAZENAMENTO DE TIN                               3,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
HDK1E-0002        000825 TIMING BELT Y - SWJ                                          1,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
MM-000030         000989 TRAVA DE PLASTICO PARA FIXAÇÃO                               2,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
