Referencia        CodPro Descricao do Produto            001 Estoque DISPONIVEL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
 
48810-011         001643 ESPATULA PARA REFLETIVOS                                    10,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
48000-000         000514 ESPATULA PLASTICA ORAFOL CINZA                             253,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000194            000194 MASCARA ORATAPE MT52 PAPEL F99                            8418,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000195            000195 MASCARA ORATAPE MT95 TRANSP F9                            1098,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001712            001712 MASCARA ORATAPE MT95 TRANSP F9                            1507,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001277            001277 MÁSCARA RTAPE 4050 RLA 1,22 X                             2899,288                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001647            001647 MÁSCARA RTAPE 4075 RLA 1,22 X                            13492,468                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001125            001125 VINIL ORACAL 6510 029 YELLOW -                              63,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001398            001398 VINIL ORACAL 6510 037 ORANGE F                             630,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001505            001505 VINIL ORACAL 6510 038 RED ORAN                             504,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001075            001075 VINIL ORACAL 6510 039 RED - 1,                             378,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001399            001399 VINIL ORACAL 6510 046 PINK FLU                             504,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001392            001392 VINIL ORACAL 6510 069 GREEN FL                             378,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001504            001504 VINIL ORACAL 6510 357 ORANGE R                             315,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0000    000057 VINIL ORACAL 651G - 000                                   2079,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0010    000003 VINIL ORACAL 651G - 010                                   6237,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0019    000011 VINIL ORACAL 651G - 019                                    567,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0020    000010 VINIL ORACAL 651G - 020                                   2835,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0021    000016 VINIL ORACAL 651G - 021                                   1764,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0023    000009 VINIL ORACAL 651G - 023                                    441,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0025    000012 VINIL ORACAL 651G - 025                                   2016,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0026    000013 VINIL ORACAL 651G - 026                                   1197,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0030    000014 VINIL ORACAL 651G - 030                                   1449,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0031    000015 VINIL ORACAL 651G - 031                                   3150,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0032    000017 VINIL ORACAL 651G - 032                                    945,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0035    000018 VINIL ORACAL 651G - 035                                   4347,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0036    000019 VINIL ORACAL 651G - 036                                   1953,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101113126G0040    000020 VINIL ORACAL 651G - 040                                    882,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
